user_id,age,gender,height_cm,weight_kg,fitness_level,goal,workout_frequency,preferred_type,equipment_access,preferred_bodypart,time_per_session
user_38,38,Female,181,88,Beginner,Tone body,5,Cardio cycling,Bands,Triceps,59
user_39,23,Male,193,63,Expert,Prepare for event,2,Zumba,Cable,Upper body,73
user_40,53,Female,167,68,Expert,Improve mobility,4,Olympic weightlifting,Dumbbell,Biceps,38
user_41,18,Female,177,87,Intermediate,Prepare for event,2,Swimming,"Body Only, Bands, Cable",Arms,27
user_42,58,Male,172,71,Expert,Increase endurance,1,Circuit training,"None, Machine",Arms,55
user_43,47,Other,184,86,Intermediate,Body recomposition,2,Strength training,Bands,Glutes,48
user_44,31,Male,155,57,Expert,Sports performance,3,Dance,"Full gym, Minimal equipment",Hamstrings,53
user_45,51,Male,188,96,Expert,Lose fat,2,CrossFit,Machine,No specific focus,54
user_46,40,Female,153,86,Intermediate,Wellness,4,No preference,Cable,Upper body,33
user_47,48,Other,156,87,Beginner,Body recomposition,1,Yoga,Machine,Forearms,20
user_48,52,Female,199,52,Beginner,Increase endurance,4,Calisthenics,"Machine, Kettlebells, Home gym",Calves,23
user_49,49,Male,176,71,Intermediate,Improve cardio,1,Martial arts,"Bodyweight, Barbell",Lower body,37
user_50,29,Male,189,98,Intermediate,General health,2,Circuit training,Machine,Lower body,28
user_51,55,Male,182,85,Intermediate,General health,4,Dance,"Cable, Body Only",Full body,82
user_52,21,Male,159,62,Beginner,General health,2,Powerlifting,Machine,Upper body,31
user_53,18,Other,167,57,Expert,Tone body,2,Bodyweight training,"Body Only, Bands, Minimal equipment",Upper body,51
user_54,50,Male,196,74,Expert,Weight loss,4,Circuit training,"Kettlebells, Home gym, Bands",Legs,45
user_55,36,Other,188,97,Beginner,Build muscle,3,Olympic weightlifting,"Kettlebells, Bands, Machine",No specific focus,72
user_56,50,Male,162,96,Intermediate,Wellness,1,Yoga,"Outdoor park, Body Only",Lower body,40
user_57,43,Other,150,79,Beginner,Weight loss,2,Olympic weightlifting,Body Only,Calves,37
user_58,54,Male,174,71,Intermediate,Improve mobility,4,Zumba,"Full gym, Kettlebells, Minimal equipment",Glutes,47
user_59,44,Male,178,69,Expert,Tone body,4,Zumba,"Full gym, Home gym",Triceps,43
user_60,34,Female,158,88,Intermediate,Gain mass,5,Dance,"Bodyweight, Barbell, Cable",Arms,22
user_61,30,Male,195,78,Beginner,Improve flexibility,3,Cardio rowing,"Machine, Dumbbell, Body Only",Legs,62
user_62,42,Male,153,98,Intermediate,Improve mobility,4,CrossFit,"Minimal equipment, Kettlebells, Machine",Glutes,66
user_63,45,Male,153,93,Expert,Wellness,3,CrossFit,None,Shoulders,32
user_64,48,Female,194,60,Intermediate,Lose fat,2,Circuit training,Minimal equipment,Arms,43
user_65,54,Male,191,51,Beginner,Increase endurance,3,Dance,"Dumbbell, Minimal equipment, Outdoor park",Upper body,71
user_66,43,Male,169,52,Expert,Tone body,2,Cardio running,"Cable, Kettlebells",Calves,31
user_67,52,Other,170,84,Expert,Prepare for event,3,Cardio cycling,Kettlebells,Arms,30
user_68,54,Other,175,69,Intermediate,Sports performance,4,Martial arts,"Machine, Outdoor park",Hamstrings,45
user_69,26,Male,154,86,Beginner,Sports performance,4,Functional training,Full gym,Quads,48
user_70,23,Female,152,86,Beginner,Wellness,3,No preference,"Cable, Minimal equipment, Bodyweight",Quads,45
user_71,44,Male,176,65,Beginner,Improve flexibility,2,Circuit training,"Full gym, Cable, Body Only",Chest,85
user_72,50,Other,195,70,Intermediate,Improve flexibility,1,Powerlifting,"Home gym, Full gym",Biceps,66
user_73,44,Female,159,54,Intermediate,Tone body,1,CrossFit,Bodyweight,Hamstrings,61
user_74,31,Male,161,78,Expert,Build muscle,2,Zumba,"Barbell, Dumbbell",Lower body,48
user_75,47,Other,171,88,Intermediate,Improve flexibility,1,Circuit training,"Barbell, Minimal equipment",Forearms,64
user_76,33,Other,197,86,Beginner,Improve flexibility,2,CrossFit,"Cable, Dumbbell",Legs,69
user_77,54,Female,157,79,Expert,Weight loss,5,CrossFit,Bands,Triceps,34
user_78,46,Other,155,51,Beginner,Improve strength,2,Yoga,Bodyweight,Upper body,36
user_79,50,Other,197,81,Expert,Improve cardio,2,Circuit training,"Bodyweight, Body Only, Kettlebells",Upper body,78
user_80,49,Male,160,96,Intermediate,Wellness,3,Calisthenics,"None, Cable",Core,69
user_81,30,Other,180,53,Expert,Gain mass,4,HIIT High Intensity Interval Training,"Home gym, Minimal equipment, Body Only",Chest,22
user_82,45,Other,153,89,Beginner,Lose fat,5,Strength training,"Bands, Bodyweight",Quads,20
user_83,55,Other,167,62,Beginner,Wellness,4,Cardio rowing,"Body Only, Machine, Kettlebells",Biceps,33
user_84,21,Other,174,58,Expert,Weight loss,4,Powerlifting,Outdoor park,Core,81
user_85,34,Female,188,87,Beginner,Injury recovery,3,Olympic weightlifting,"Minimal equipment, Barbell, Home gym",Lower body,20
user_86,55,Other,159,66,Intermediate,Rehabilitation,3,Olympic weightlifting,"Barbell, Full gym",Legs,88
user_87,57,Male,191,61,Expert,Improve strength,1,Swimming,"Outdoor park, Body Only, Minimal equipment",Legs,72
user_88,37,Other,168,73,Beginner,Lose fat,3,No preference,"Body Only, Minimal equipment",Full body,65
user_89,54,Other,176,97,Beginner,Improve strength,4,HIIT High Intensity Interval Training,Bodyweight,Chest,22
user_90,23,Male,185,54,Expert,Increase endurance,2,Cardio rowing,"Machine, Full gym",Quads,61
user_91,29,Other,177,74,Intermediate,Sports performance,3,Zumba,"Full gym, Minimal equipment",Back,43
user_92,32,Other,165,86,Beginner,Improve strength,3,Calisthenics,"Minimal equipment, Bodyweight, Full gym",Abs,75
user_93,41,Female,151,93,Intermediate,Injury recovery,2,No preference,"Home gym, Minimal equipment, Kettlebells",Glutes,49
user_94,25,Male,156,63,Intermediate,Rehabilitation,5,Cardio rowing,"Home gym, Outdoor park, Cable",Biceps,44
user_95,33,Other,167,93,Beginner,Body recomposition,1,Dance,"None, Dumbbell, Barbell",Forearms,38
user_96,30,Female,169,71,Beginner,Rehabilitation,5,Dance,"Outdoor park, Body Only, None",Chest,50
user_97,32,Other,151,54,Intermediate,Injury recovery,4,Martial arts,"Barbell, Outdoor park, Kettlebells",No specific focus,65
user_98,46,Female,194,53,Beginner,Sports performance,4,Zumba,"Kettlebells, Dumbbell",Lower body,85
user_99,27,Male,157,98,Expert,Improve mobility,5,HIIT High Intensity Interval Training,"Bodyweight, Bands, Outdoor park",Full body,49
user_100,27,Male,180,51,Beginner,Improve mobility,4,HIIT High Intensity Interval Training,"Minimal equipment, Bands, Kettlebells",Calves,54
user_101,57,Other,171,55,Intermediate,Improve flexibility,2,Functional training,"Minimal equipment, Bands, Outdoor park",Upper body,85
user_102,56,Other,175,89,Beginner,Gain mass,1,Dance,"Full gym, Minimal equipment",Shoulders,85
user_103,28,Other,186,93,Beginner,Build muscle,5,Yoga,"None, Machine, Bands",Triceps,32
user_104,36,Female,154,57,Expert,Lose fat,3,Pilates,"Dumbbell, Outdoor park",Lower body,73
user_105,27,Other,153,68,Intermediate,Prepare for event,2,Calisthenics,"Full gym, Barbell, Machine",Core,56
user_106,42,Female,164,91,Expert,Sports performance,1,Powerlifting,"Barbell, Bands, Home gym",Glutes,22
user_107,27,Female,152,87,Beginner,Tone body,3,Martial arts,Outdoor park,Glutes,85
user_108,41,Other,197,72,Intermediate,Injury recovery,2,Zumba,"Machine, Bodyweight",Upper body,65
user_109,20,Female,154,81,Expert,Lose fat,5,Cardio cycling,"Home gym, None",Chest,82
user_110,22,Male,182,58,Expert,Sports performance,5,Cardio cycling,"None, Dumbbell",No specific focus,64
user_111,22,Other,188,55,Intermediate,Improve flexibility,1,Cardio rowing,Home gym,No specific focus,74
user_112,48,Other,166,91,Expert,Tone body,1,Cardio running,"Body Only, Kettlebells",Lower body,59
user_113,53,Female,172,53,Intermediate,Sports performance,3,CrossFit,"Body Only, Minimal equipment",Triceps,74
user_114,55,Other,152,94,Beginner,Build muscle,3,No preference,"Cable, Machine, Kettlebells",Calves,79
user_115,51,Other,160,67,Expert,Wellness,2,Bodyweight training,"Minimal equipment, Body Only",Forearms,24
user_116,52,Male,175,95,Beginner,Rehabilitation,1,Cardio running,"Full gym, Dumbbell",Glutes,30
user_117,34,Male,154,63,Beginner,General health,4,Calisthenics,Outdoor park,Calves,43
user_118,33,Female,185,51,Expert,Improve flexibility,5,Martial arts,"Full gym, Bands",Full body,21
user_119,50,Male,197,67,Intermediate,Rehabilitation,2,Dance,"Full gym, Dumbbell, Barbell",Chest,65
user_120,41,Male,167,76,Beginner,Improve strength,1,Zumba,"Kettlebells, Minimal equipment, Barbell",Upper body,70
user_121,49,Male,155,81,Expert,Gain mass,4,Circuit training,"Kettlebells, Full gym",Legs,64
user_122,45,Other,174,60,Intermediate,Improve mobility,3,Cardio rowing,Kettlebells,Calves,86
user_123,18,Male,189,91,Intermediate,Tone body,2,Functional training,Cable,Quads,75
user_124,55,Female,181,65,Beginner,Injury recovery,2,Cardio cycling,"Home gym, Outdoor park",Upper body,55
user_125,48,Male,182,50,Intermediate,Improve flexibility,1,Functional training,Barbell,Upper body,55
user_126,59,Other,194,74,Expert,Lose fat,2,Functional training,None,Glutes,39
user_127,57,Other,159,78,Intermediate,Rehabilitation,4,Zumba,"Body Only, Kettlebells",Core,73
user_128,18,Other,158,92,Intermediate,Lose fat,1,Dance,Kettlebells,Chest,42
user_129,47,Female,179,92,Expert,Lose fat,1,Dance,"Cable, Bodyweight",Upper body,41
user_130,51,Male,178,64,Intermediate,Injury recovery,3,Strength training,"Bands, Home gym",Upper body,27
user_131,24,Male,161,79,Expert,Tone body,4,Powerlifting,Dumbbell,Triceps,67
user_132,55,Other,152,67,Expert,Prepare for event,3,Martial arts,"Barbell, Cable",No specific focus,40
user_133,19,Other,173,65,Beginner,Improve mobility,2,Powerlifting,"Body Only, Bands, Kettlebells",Calves,50
user_134,55,Male,168,60,Intermediate,Improve strength,2,Strength training,"Full gym, Cable, Outdoor park",Core,84
user_135,39,Male,193,58,Beginner,Improve flexibility,5,Powerlifting,Body Only,Quads,57
user_136,49,Female,179,99,Expert,Weight loss,4,Functional training,"Full gym, Home gym, Cable",Abs,71
user_137,28,Male,160,86,Intermediate,Build muscle,1,Powerlifting,"Cable, Bodyweight, None",No specific focus,33
user_138,39,Male,168,61,Beginner,Injury recovery,5,CrossFit,Bands,Quads,68
user_139,26,Other,169,93,Beginner,General health,5,Powerlifting,"Home gym, Dumbbell",Upper body,65
user_140,32,Male,163,50,Intermediate,Body recomposition,5,Cardio rowing,None,Biceps,79
user_141,43,Other,184,57,Intermediate,Rehabilitation,1,Cardio running,Home gym,Abs,44
user_142,29,Other,197,61,Intermediate,Body recomposition,1,HIIT High Intensity Interval Training,Outdoor park,Upper body,71
user_143,36,Male,153,82,Expert,Improve mobility,4,Cardio running,"Full gym, None",Lower body,43
user_144,38,Male,157,78,Expert,Prepare for event,1,Martial arts,Bands,Biceps,22
user_145,54,Male,194,61,Intermediate,Injury recovery,4,Bodyweight training,Machine,Legs,86
user_146,53,Other,152,50,Expert,Injury recovery,4,Dance,"Barbell, Minimal equipment, Machine",Chest,25
user_147,22,Other,154,92,Intermediate,Improve flexibility,1,Cardio cycling,Dumbbell,Forearms,36
user_148,18,Female,191,98,Beginner,Improve mobility,3,Cardio running,"Machine, None",Legs,65
user_149,42,Female,183,93,Expert,Prepare for event,2,Strength training,Cable,Glutes,45
user_150,42,Other,184,83,Beginner,General health,3,Olympic weightlifting,Barbell,Hamstrings,26
user_151,59,Other,191,56,Intermediate,Body recomposition,2,Dance,"Cable, Barbell",Lower body,44
user_152,54,Other,198,68,Beginner,Body recomposition,5,HIIT High Intensity Interval Training,"Full gym, Dumbbell",Shoulders,63
user_153,24,Male,191,79,Intermediate,Body recomposition,5,Martial arts,"Barbell, Body Only",Abs,84
user_154,39,Other,152,73,Beginner,Improve strength,2,Functional training,"Machine, Dumbbell",No specific focus,41
user_155,53,Other,153,82,Expert,Improve mobility,3,Dance,Machine,Triceps,89
user_156,36,Male,152,78,Intermediate,Improve cardio,3,CrossFit,Minimal equipment,Chest,32
user_157,58,Other,180,97,Expert,Sports performance,5,Yoga,Minimal equipment,Full body,63
user_158,27,Female,180,52,Expert,Prepare for event,3,Calisthenics,"Cable, Bands",Legs,67
user_159,58,Other,185,72,Intermediate,Rehabilitation,4,Bodyweight training,Minimal equipment,Triceps,78
user_160,45,Female,177,53,Expert,Body recomposition,2,Olympic weightlifting,"Kettlebells, Minimal equipment, Bands",Quads,70
user_161,26,Male,178,62,Intermediate,Injury recovery,1,Martial arts,"Barbell, Outdoor park, Home gym",Shoulders,40
user_162,55,Male,150,72,Intermediate,Weight loss,5,Martial arts,Bands,Triceps,64
user_163,21,Male,162,84,Intermediate,General health,4,Cardio running,"Machine, Home gym, None",Lower body,89
user_164,20,Other,151,72,Expert,Gain mass,5,Cardio rowing,"Outdoor park, Dumbbell, None",Quads,40
user_165,39,Female,180,54,Intermediate,Injury recovery,4,Calisthenics,Kettlebells,Forearms,77
user_166,57,Other,163,72,Beginner,Improve cardio,1,Dance,None,Back,65
user_167,58,Female,153,86,Expert,Build muscle,3,CrossFit,"Body Only, Outdoor park, Kettlebells",Abs,20
user_168,56,Female,181,55,Intermediate,Improve strength,3,Cardio running,"Full gym, Dumbbell",Shoulders,76
user_169,47,Female,178,62,Beginner,Improve strength,5,No preference,"Machine, Outdoor park, Dumbbell",Abs,44
user_170,34,Female,187,76,Beginner,Improve mobility,2,Yoga,Dumbbell,Glutes,39
user_171,50,Other,193,90,Expert,Lose fat,4,Martial arts,Barbell,Biceps,20
user_172,51,Male,156,53,Intermediate,Prepare for event,1,Powerlifting,Home gym,Shoulders,79
user_173,24,Other,155,87,Expert,Build muscle,4,Dance,"Dumbbell, None",Chest,88
user_174,22,Male,157,68,Intermediate,Improve flexibility,5,Dance,"Home gym, Dumbbell",Hamstrings,28
user_175,45,Female,156,80,Expert,General health,1,Cardio running,"Home gym, Barbell",Full body,68
user_176,18,Female,190,77,Expert,Build muscle,4,Pilates,Bodyweight,Abs,48
user_177,19,Male,151,67,Beginner,General health,2,Cardio rowing,"Kettlebells, Body Only",Triceps,20
user_178,34,Other,169,64,Expert,Tone body,3,Olympic weightlifting,Bodyweight,Calves,44
user_179,43,Male,180,73,Beginner,Prepare for event,4,Olympic weightlifting,"Kettlebells, Bodyweight, Barbell",Glutes,58
user_180,44,Female,191,99,Intermediate,Injury recovery,2,Olympic weightlifting,"Home gym, Cable",Core,54
user_181,46,Other,152,52,Intermediate,Tone body,5,HIIT High Intensity Interval Training,"Bodyweight, Minimal equipment",No specific focus,64
user_182,28,Male,195,96,Expert,Lose fat,4,Cardio running,"Kettlebells, Outdoor park, Dumbbell",Back,43
user_183,45,Other,190,56,Beginner,Improve mobility,4,Pilates,"Barbell, Cable, Full gym",Shoulders,32
user_184,49,Male,170,98,Beginner,Wellness,5,Zumba,"Bodyweight, Full gym",Back,81
user_185,23,Female,175,62,Intermediate,Gain mass,5,Powerlifting,Cable,Abs,35
user_186,49,Other,181,76,Intermediate,Body recomposition,5,Powerlifting,"Bands, Outdoor park, Machine",No specific focus,60
user_187,21,Other,161,54,Expert,Sports performance,1,Zumba,Dumbbell,Hamstrings,22
user_188,54,Male,194,57,Expert,Lose fat,2,CrossFit,"Barbell, Cable, None",Full body,54
user_189,30,Female,165,88,Expert,Rehabilitation,2,Pilates,"Home gym, Cable",Shoulders,27
user_190,49,Other,180,63,Expert,Injury recovery,1,Circuit training,Minimal equipment,Calves,71
user_191,52,Other,185,56,Intermediate,Build muscle,5,Pilates,"Outdoor park, Dumbbell",Back,46
user_192,35,Other,159,70,Expert,Rehabilitation,2,Swimming,"Full gym, Body Only, Barbell",Triceps,23
user_193,55,Female,169,61,Expert,Gain mass,4,Pilates,"Full gym, Cable",Legs,74
user_194,19,Female,161,97,Beginner,Wellness,3,Bodyweight training,"Kettlebells, None",Upper body,75
user_195,45,Male,162,56,Beginner,Body recomposition,5,Dance,"Body Only, Bodyweight",Triceps,20
user_196,32,Male,168,71,Intermediate,Weight loss,2,Cardio running,Body Only,Legs,72
user_197,41,Female,165,98,Beginner,Prepare for event,3,Zumba,"Kettlebells, Home gym, Barbell",Biceps,20
user_198,20,Other,151,64,Expert,Tone body,4,Functional training,"Dumbbell, None",Hamstrings,43
user_199,36,Other,168,92,Expert,Improve flexibility,2,Calisthenics,"Body Only, Outdoor park, Minimal equipment",Chest,52
user_200,41,Male,180,82,Intermediate,Tone body,3,Swimming,"None, Body Only, Full gym",No specific focus,69
user_201,55,Other,161,85,Intermediate,Weight loss,4,Martial arts,Dumbbell,Lower body,81
user_202,20,Female,191,82,Intermediate,Prepare for event,5,Functional training,Kettlebells,Triceps,49
user_203,43,Female,185,75,Beginner,Improve mobility,4,Cardio cycling,"None, Kettlebells",Triceps,44
user_204,40,Other,153,86,Expert,Improve flexibility,1,Cardio cycling,"None, Barbell, Minimal equipment",Glutes,43
user_205,24,Other,151,71,Intermediate,Tone body,2,Calisthenics,Dumbbell,Shoulders,77
user_206,50,Other,171,79,Expert,Weight loss,4,Cardio cycling,"None, Body Only",No specific focus,54
user_207,48,Male,167,54,Beginner,Sports performance,2,Yoga,"Bands, Home gym",Hamstrings,63
user_208,22,Other,156,56,Intermediate,Improve mobility,1,Bodyweight training,Minimal equipment,Triceps,83
user_209,26,Other,188,65,Beginner,General health,1,Bodyweight training,"Machine, Home gym, Bodyweight",Upper body,52
user_210,57,Male,196,90,Intermediate,Rehabilitation,4,CrossFit,"Dumbbell, Outdoor park, Bands",No specific focus,41
user_211,42,Female,157,78,Intermediate,Injury recovery,3,Strength training,"Barbell, Body Only",Chest,45
user_212,21,Other,197,93,Expert,Prepare for event,1,Circuit training,"Kettlebells, Dumbbell",Forearms,88
user_213,19,Female,197,90,Intermediate,General health,1,Bodyweight training,Home gym,Lower body,62
user_214,40,Female,158,63,Beginner,Improve cardio,5,Cardio rowing,"Dumbbell, Cable",Abs,22
user_215,23,Other,191,89,Intermediate,Increase endurance,2,Cardio cycling,"Dumbbell, Kettlebells, Barbell",Shoulders,38
user_216,38,Male,158,81,Intermediate,Gain mass,4,Dance,"Bands, Home gym",Triceps,52
user_217,22,Male,188,82,Intermediate,Lose fat,3,Strength training,Minimal equipment,Chest,85
user_218,53,Male,190,69,Intermediate,Weight loss,3,Functional training,"Full gym, None",Triceps,31
user_219,22,Female,179,61,Intermediate,Prepare for event,5,Yoga,"Machine, Bands, Dumbbell",Abs,69
user_220,18,Male,192,95,Beginner,Body recomposition,2,HIIT High Intensity Interval Training,Barbell,Forearms,24
user_221,50,Other,182,84,Expert,Improve strength,5,CrossFit,"Bodyweight, Body Only",Abs,86
user_222,57,Other,197,57,Beginner,General health,2,Cardio running,Cable,Glutes,68
user_223,22,Male,166,56,Intermediate,Sports performance,2,Swimming,Home gym,Calves,32
user_224,55,Female,198,98,Intermediate,Rehabilitation,4,Cardio running,"Minimal equipment, Kettlebells, Full gym",Quads,83
user_225,59,Female,192,89,Expert,Increase endurance,2,CrossFit,"Home gym, Full gym, Dumbbell",Lower body,22
user_226,54,Female,160,89,Expert,Increase endurance,2,CrossFit,Minimal equipment,Biceps,23
user_227,38,Female,157,64,Intermediate,General health,3,Zumba,"Barbell, Full gym",Upper body,20
user_228,24,Other,165,51,Intermediate,Lose fat,2,Bodyweight training,Full gym,Triceps,72
user_229,48,Male,166,90,Beginner,Weight loss,1,Circuit training,"Dumbbell, Bodyweight, Machine",Forearms,57
user_230,37,Female,188,59,Beginner,Improve cardio,2,Circuit training,"Barbell, Bands, Full gym",Glutes,52
user_231,41,Male,193,50,Beginner,Lose fat,4,Strength training,Minimal equipment,Back,44
user_232,34,Female,165,54,Intermediate,Improve mobility,1,Swimming,"Body Only, Barbell, Minimal equipment",Shoulders,40
user_233,25,Female,151,96,Beginner,Improve strength,3,Strength training,"Bodyweight, Body Only",Upper body,33
user_234,32,Other,159,78,Intermediate,Build muscle,3,Cardio cycling,"Minimal equipment, Barbell",Hamstrings,34
user_235,53,Male,177,83,Beginner,Sports performance,4,Cardio cycling,Machine,Shoulders,29
user_236,36,Male,164,91,Expert,Improve strength,3,HIIT High Intensity Interval Training,"Bands, Home gym, Dumbbell",Chest,33
user_237,31,Female,184,54,Intermediate,Improve cardio,2,Strength training,"None, Full gym",Arms,63
user_238,54,Female,170,80,Beginner,Sports performance,4,Cardio running,"Outdoor park, Cable, Minimal equipment",Triceps,51
user_239,49,Other,177,87,Beginner,Build muscle,5,Martial arts,"Bodyweight, Dumbbell",Upper body,27
user_240,28,Male,172,57,Expert,Wellness,3,HIIT High Intensity Interval Training,"Cable, Machine",Arms,70
user_241,22,Other,198,73,Expert,General health,5,No preference,"Full gym, Home gym, Body Only",No specific focus,44
user_242,54,Male,169,73,Beginner,Rehabilitation,5,Cardio rowing,"Kettlebells, Dumbbell, Outdoor park",Back,21
user_243,45,Male,152,54,Expert,General health,4,Zumba,"Outdoor park, Full gym",Lower body,35
user_244,30,Female,182,57,Beginner,General health,5,CrossFit,Body Only,Glutes,80
user_245,42,Other,185,68,Beginner,Injury recovery,4,Cardio running,Barbell,Arms,27
user_246,39,Female,172,64,Intermediate,Wellness,5,Martial arts,"Bands, Dumbbell",Hamstrings,47
user_247,21,Female,188,99,Intermediate,General health,3,Cardio running,"Machine, Full gym",Calves,62
user_248,50,Male,192,79,Beginner,Rehabilitation,2,HIIT High Intensity Interval Training,"Dumbbell, Barbell, None",Lower body,33
user_249,42,Other,167,55,Beginner,Weight loss,2,Swimming,"Minimal equipment, Bands, None",Glutes,40
user_250,46,Female,180,65,Intermediate,Injury recovery,5,Powerlifting,"Body Only, Full gym",Forearms,82
user_251,29,Female,196,82,Intermediate,Prepare for event,4,Bodyweight training,Machine,Full body,80
user_252,56,Other,194,51,Intermediate,Improve cardio,4,Bodyweight training,"Home gym, Outdoor park, Kettlebells",Upper body,63
user_253,23,Other,193,63,Expert,Rehabilitation,5,Cardio running,"Full gym, Home gym",Biceps,68
user_254,56,Male,155,64,Beginner,Gain mass,3,Powerlifting,"Bodyweight, Home gym, Bands",Glutes,24
user_255,18,Male,178,77,Expert,Improve strength,3,No preference,"Machine, Minimal equipment",Calves,55
user_256,51,Male,177,94,Beginner,Weight loss,5,Martial arts,"Outdoor park, Bands",Lower body,81
user_257,54,Female,163,77,Beginner,Prepare for event,2,Strength training,"Dumbbell, Bands",Glutes,61
user_258,57,Male,166,82,Intermediate,Rehabilitation,1,Strength training,Cable,Core,60
user_259,25,Other,182,65,Intermediate,Injury recovery,3,HIIT High Intensity Interval Training,"Machine, None, Bands",Calves,85
user_260,22,Male,186,82,Beginner,Injury recovery,4,Cardio running,Cable,Shoulders,50
user_261,52,Female,178,62,Intermediate,Rehabilitation,2,Olympic weightlifting,"None, Barbell",Chest,49
user_262,57,Female,198,65,Beginner,Body recomposition,2,Zumba,"Kettlebells, Minimal equipment, Full gym",Biceps,59
user_263,37,Male,175,97,Beginner,Lose fat,2,Cardio cycling,"Bands, Full gym, Body Only",Shoulders,50
user_264,30,Male,174,97,Expert,Injury recovery,5,Olympic weightlifting,"Barbell, Minimal equipment, Body Only",Calves,87
user_265,49,Female,151,72,Intermediate,Lose fat,4,Martial arts,"Cable, Bodyweight, Kettlebells",Upper body,48
user_266,24,Male,152,70,Intermediate,Gain mass,3,Pilates,Bodyweight,Glutes,64
user_267,36,Male,151,77,Expert,Tone body,2,Zumba,"Bodyweight, Outdoor park, Minimal equipment",Shoulders,85
user_268,37,Other,169,67,Beginner,Sports performance,5,Olympic weightlifting,Cable,Upper body,29
user_269,52,Other,176,92,Beginner,Weight loss,4,No preference,"Bodyweight, Home gym",Core,88
